Name,Unit,Expression
m3NutPressFit,mm,5.5
m3NutSlipFit,mm,5.7
m3NutThickness,mm,2.5
m3SquareNutPressFitWidth,mm,5.4
m3SquareNutSlipFitWidth,mm,5.8
m3SquareNutSlipThickness,mm,2.1
m3SquareNutVerticalSlipWidth,mm,6.3
m3BoltSlipFit,mm,3.3
m3CbDia,mm,5.6
m3CbDepth,mm,3.1
m3CsDia,mm,6.3
m3CsDepth,mm,2.1
m3WasherDia,mm,7.3
m3WasherThickness,mm,0.6
m3CsChamfer,mm,(m3CsDia - m3BoltSlipFit) / 2
m4NutPressFit,mm,6.9
m4NutSlipFit,mm,7.2
m4NutThickness,mm,3.2
m4SquareNutPressFitWidth,mm,6.8
m4SquareNutSlipFitWidth,mm,7.2
m4SquareNutSlipThickness,mm,2.4
m4SquareNutVerticalSlipWidth,mm,7.6
m4BoltSlipFit,mm,4.3
m4CbDia,mm,7.3
m4CbDepth,mm,4.1
m4CsDia,mm,8.2
m4CsDepth,mm,2.4
m4WasherDia,mm,9.1
m4WasherThickness,mm,0.9
m4CsChamfer,mm,(m4CsDia - m4BoltSlipFit) / 2
m5NutPressFit,mm,7.9
m5NutSlipFit,mm,8.2
m5NutThickness,mm,4.1
m5SquareNutPressFitWidth,mm,7.9
m5SquareNutSlipFitWidth,mm,8.3
m5SquareNutSlipThickness,mm,2.9
m5SquareNutVerticalSlipWidth,mm,8.7
m5BoltSlipFit,mm,5.3
m5CbDia,mm,8.9
m5CbDepth,mm,5.2
m5CsDia,mm,10.2
m5CsDepth,mm,3.2
m5WasherDia,mm,10.4
m5WasherThickness,mm,1.1
m5CsChamfer,mm,(m5CsDia - m5BoltSlipFit) / 2
m6NutPressFit,mm,9.9
m6NutSlipFit,mm,10.3
m6NutThickness,mm,5.1
m6SquareNutPressFitWidth,mm,9.9
m6SquareNutSlipFitWidth,mm,10.4
m6SquareNutSlipThickness,mm,3.5
m6SquareNutVerticalSlipWidth,mm,10.9
m6BoltSlipFit,mm,6.3
m6CbDia,mm,10.4
m6CbDepth,mm,6.3
m6CsDia,mm,12.3
m6CsDepth,mm,3.6
m6WasherDia,mm,12.3
m6WasherThickness,mm,1.7
m6CsChamfer,mm,(m6CsDia - m6BoltSlipFit) / 2
m8NutPressFit,mm,12.8
m8NutSlipFit,mm,13.2
m8NutThickness,mm,6.5
m8SquareNutPressFitWidth,mm,12.9
m8SquareNutSlipFitWidth,mm,13.4
m8SquareNutSlipThickness,mm,4.4
m8SquareNutVerticalSlipWidth,mm,13.9
m8BoltSlipFit,mm,8.3
m8CbDia,mm,13.2
m8CbDepth,mm,8.2
m8CsDia,mm,16.2
m8CsDepth,mm,5
m8WasherDia,mm,16.2
m8WasherThickness,mm,1.7
m8CsChamfer,mm,(m8CsDia - m8BoltSlipFit) / 2
m10NutPressFit,mm,16.9
m10NutSlipFit,mm,17.2
m10NutThickness,mm,8.1
m10SquareNutPressFitWidth,mm,17.1
m10SquareNutSlipFitWidth,mm,17.3
m10SquareNutSlipThickness,mm,5.3
m10SquareNutVerticalSlipWidth,mm,17.8
m10BoltSlipFit,mm,10.3
m10CbDia,mm,16.3
m10CbDepth,mm,10
m10CsDia,mm,20.2
m10CsDepth,mm,5.7
m10WasherDia,mm,20.2
m10WasherThickness,mm,2.1
m10CsChamfer,mm,(m10CsDia - m10BoltSlipFit) / 2
